"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNHG6.1",1.31452611903657e-42,0.270280675331885,0.756,0.632,4.81129704828575e-38,"2","SNHG6"
"BIN2.1",7.4030054774518e-41,-0.356938910322407,0.725,0.769,2.70957403480213e-36,"2","BIN2"
"SVIP.1",1.15749317880863e-40,0.274136382576336,0.365,0.238,4.23654078375748e-36,"2","SVIP"
"ANXA6.1",3.77693263664354e-40,-0.350391119192873,0.714,0.757,1.3823951143379e-35,"2","ANXA6"
"UBE2F.1",2.01905694882591e-39,-0.365147564328242,0.206,0.33,7.38995033839771e-35,"2","UBE2F"
"ARPC4.1",6.05155976684759e-39,-0.349731198825725,0.582,0.664,2.21493139026389e-34,"2","ARPC4"
"CLEC2B.1",6.824208633207e-39,-0.40654947209722,0.581,0.648,2.49772860184009e-34,"2","CLEC2B"
"INPP4B.1",1.41147644476115e-38,0.271677535576925,0.341,0.225,5.16614493547028e-34,"2","INPP4B"
"SSBP4.1",5.41535387294785e-38,-0.376532648920097,0.557,0.638,1.98207367103764e-33,"2","SSBP4"
"LINC02446.2",3.57785870104224e-36,0.353872131519749,0.456,0.323,1.30953206316847e-31,"2","LINC02446"
"RPL13A.1",5.68209370025231e-36,0.250942539810857,0.968,0.914,2.07970311522935e-31,"2","RPL13A"
"TNFRSF1B.1",8.34250205625458e-36,-0.39955192904305,0.266,0.382,3.05343917760974e-31,"2","TNFRSF1B"
"TTC39C",9.01618318552125e-36,0.257176698844177,0.488,0.359,3.30001320773263e-31,"2","TTC39C"
"PYHIN1.1",1.6694286641168e-35,-0.430663689677545,0.323,0.43,6.11027585353391e-31,"2","PYHIN1"
"ARPC1B.1",1.79287760230538e-35,-0.280709232827955,0.892,0.873,6.56211131219791e-31,"2","ARPC1B"
"SPN.1",2.26020520745343e-35,-0.416207119001719,0.397,0.498,8.27257707980032e-31,"2","SPN"
"MYL12B.1",3.28312910881255e-35,-0.257480678017286,0.88,0.88,1.20165808511648e-30,"2","MYL12B"
"EMP3.1",3.35098019946377e-35,-0.28512848423578,0.908,0.895,1.22649226280573e-30,"2","EMP3"
"ITGAL.1",6.56278059404463e-35,-0.414362301138625,0.308,0.42,2.40204332522628e-30,"2","ITGAL"
"DYNLL1.2",6.94732651542788e-35,-0.413595962830078,0.398,0.494,2.54279097791176e-30,"2","DYNLL1"
"MXD4.1",1.38091031709592e-34,-0.385342598190774,0.227,0.336,5.05426985160276e-30,"2","MXD4"
"AGTRAP.1",1.78735509192905e-34,-0.334888637167111,0.171,0.284,6.54189837196951e-30,"2","AGTRAP"
"CD300A.1",3.88531000031162e-34,-0.369050269904467,0.159,0.269,1.42206231321406e-29,"2","CD300A"
"CALR.1",4.69044743042248e-34,-0.408224600819625,0.72,0.758,1.71675066400893e-29,"2","CALR"
"CDKN1B",4.94852638085866e-34,0.250389383057536,0.67,0.539,1.81121014065808e-29,"2","CDKN1B"
"DOK2.1",7.78426024999281e-34,-0.37897314197063,0.347,0.455,2.84911709409987e-29,"2","DOK2"
"IRF1",4.83780853668378e-33,-0.416640788455872,0.493,0.587,1.77068630251163e-28,"2","IRF1"
"SASH3.1",5.75724714923135e-33,-0.379772359276919,0.422,0.51,2.10721002909017e-28,"2","SASH3"
"PPIB.1",1.71006234796647e-32,-0.270081906903636,0.879,0.872,6.25899919979207e-28,"2","PPIB"
"PXN.1",1.01692491608679e-31,-0.343599584106215,0.318,0.425,3.72204688536928e-27,"2","PXN"
"SRSF9.1",1.23929309077421e-31,-0.316124400218387,0.582,0.647,4.53593664154269e-27,"2","SRSF9"
"PSMB8.1",2.04330529303521e-31,-0.308208650457992,0.701,0.737,7.47870170303819e-27,"2","PSMB8"
"AC245014.3.1",7.92271853755318e-31,0.266766502079346,0.442,0.323,2.89979421192984e-26,"2","AC245014.3"
"RGCC.1",1.10364034877706e-30,0.270905699674997,0.383,0.269,4.03943404055892e-26,"2","RGCC"
"PYCARD.1",1.96024623417502e-30,-0.356573361633216,0.301,0.402,7.17469724170401e-26,"2","PYCARD"
"CDC42.1",2.21797405672994e-30,-0.270187669927965,0.809,0.827,8.11800684503726e-26,"2","CDC42"
"MYO1G.1",5.04589916584475e-30,-0.365647841218067,0.438,0.528,1.84684955369084e-25,"2","MYO1G"
"CTSA",6.76889308741421e-30,0.258443628575542,0.322,0.22,2.47748255892447e-25,"2","CTSA"
"CXCR4.2",1.90834930503816e-29,0.26972030682596,0.804,0.717,6.98474929137017e-25,"2","CXCR4"
"AC253572.2.1",2.15359892019303e-29,0.298789829625725,0.343,0.237,7.88238740779851e-25,"2","AC253572.2"
"ACAA2.1",7.35596458685689e-29,-0.325858027170008,0.211,0.311,2.69235659843549e-24,"2","ACAA2"
"BLOC1S1.1",1.21067345020651e-28,-0.337407167107336,0.483,0.555,4.43118589510086e-24,"2","BLOC1S1"
"AL138963.4.2",1.46087223627401e-28,0.393169529001439,0.632,0.518,5.34693847198651e-24,"2","AL138963.4"
"PSMB10.1",8.46094024897935e-28,-0.294615618779584,0.619,0.673,3.09678874052893e-23,"2","PSMB10"
"SLC25A3",1.24742225101625e-27,-0.266257912884382,0.704,0.737,4.56569018094459e-23,"2","SLC25A3"
"APOBEC3C.1",1.28350999880655e-27,-0.318592983756798,0.187,0.284,4.69777494663185e-23,"2","APOBEC3C"
"ADA.1",1.78107798406209e-27,-0.295965236458459,0.191,0.29,6.51892352946564e-23,"2","ADA"
"ZNF683.2",3.56765141103283e-27,-0.763012644672755,0.263,0.34,1.30579609295213e-22,"2","ZNF683"
"MT2A.2",3.58490941963104e-27,-0.420871204127604,0.58,0.64,1.31211269667916e-22,"2","MT2A"
"MRPL10.1",1.12107480786633e-26,-0.319981758560227,0.248,0.348,4.10324590427155e-22,"2","MRPL10"
"SCP2.1",1.28131779748944e-26,-0.322910716154058,0.38,0.468,4.68975127059112e-22,"2","SCP2"
"FOS.2",2.72636028451606e-26,0.342235451996222,0.848,0.752,9.97875127735725e-22,"2","FOS"
