"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DNAJC9",8.83132746555562e-169,0.997175350465252,0.742,0.149,3.23235416566801e-164,"10","DNAJC9"
"BRI3BP",1.59643235252266e-168,0.458238487706432,0.412,0.045,5.8431020534682e-164,"10","BRI3BP"
"TMEM106C",2.72433146510675e-168,0.844170790094839,0.725,0.135,9.97132559543722e-164,"10","TMEM106C"
"SKA2.1",5.06601868645052e-168,0.821830577927273,0.788,0.155,1.85421349942776e-163,"10","SKA2"
"CCDC28B.1",3.42451892909208e-167,0.567511904881964,0.565,0.081,1.25340817323699e-162,"10","CCDC28B"
"RCC1",4.34113911560469e-167,0.339837232597754,0.35,0.033,1.58890032770247e-162,"10","RCC1"
"H2AFZ.2",2.46579784415093e-166,2.08990879105279,0.974,0.608,9.02506668937683e-162,"10","H2AFZ"
"PRDX3.1",2.62836324667808e-164,1.12398310403072,0.801,0.195,9.62007231916644e-160,"10","PRDX3"
"SHMT1",9.13865782996654e-164,0.458351789447127,0.464,0.058,3.34484015234605e-159,"10","SHMT1"
"CDC7",1.2942735050853e-163,0.379250801490953,0.382,0.04,4.73717045596272e-159,"10","CDC7"
"RPS27.2",2.04358905947514e-163,-1.23649841276815,1,0.998,7.47974031658498e-159,"10","RPS27"
"H2AFV.2",4.74251761461082e-163,1.79950008557293,0.974,0.541,1.73580887212371e-158,"10","H2AFV"
"HMGB1.2",1.6405220892964e-161,1.65733730115571,0.997,0.895,6.00447489903375e-157,"10","HMGB1"
"FANCG",8.88543021140323e-161,0.360581038390517,0.35,0.034,3.25215631167569e-156,"10","FANCG"
"HIST1H3I",1.97482618593063e-160,0.686589860641437,0.301,0.027,7.2280613231247e-156,"10","HIST1H3I"
"USP1",2.05975625841527e-158,1.11522885930765,0.814,0.195,7.53891388142572e-154,"10","USP1"
"NCAPH2",2.57786945500475e-157,0.461584417548821,0.467,0.06,9.43525999226289e-153,"10","NCAPH2"
"SLC1A5",2.75745786518415e-156,0.45823092081864,0.503,0.069,1.00925715323605e-151,"10","SLC1A5"
"DEK.3",9.91826325682331e-156,1.5965372994693,0.971,0.526,3.6301835346299e-151,"10","DEK"
"PFN1.6",2.28243896862106e-155,1.30402642916602,1,0.991,8.35395486904993e-151,"10","PFN1"
"TFDP1.1",7.94987830297538e-155,1.03113319600501,0.833,0.205,2.90973495767202e-150,"10","TFDP1"
"MSH6",1.98407425465291e-154,0.560830642226244,0.503,0.072,7.2619101794551e-150,"10","MSH6"
"NASP.1",3.3166376562741e-154,1.34738801433787,0.869,0.265,1.21392254857288e-149,"10","NASP"
"CFL1.7",1.80627767341028e-153,1.2205287540763,0.993,0.978,6.61115691244897e-149,"10","CFL1"
"RPL34.7",6.6847177686514e-153,-1.23930357235466,0.993,0.997,2.4466735505041e-148,"10","RPL34"
"GGCT",1.10289408154995e-152,0.782480468959563,0.696,0.136,4.03670262788096e-148,"10","GGCT"
"ACTB.7",5.15210102379488e-152,1.3787092942124,1,0.998,1.88572049571916e-147,"10","ACTB"
"RPL30.6",8.62920321102962e-152,-1.16498912744021,1,0.998,3.15837466726895e-147,"10","RPL30"
"PPIA.3",1.63640284922402e-151,1.28270103189333,0.99,0.954,5.98939806844482e-147,"10","PPIA"
"PTMA.1",1.04407814719429e-150,1.0038754171853,1,0.994,3.82143042654584e-146,"10","PTMA"
"UNG",1.5581715111474e-150,0.636800966732768,0.497,0.073,5.70306354795061e-146,"10","UNG"
"HIST1H4H",1.92884824759887e-150,1.38855688938437,0.34,0.036,7.05977747103664e-146,"10","HIST1H4H"
"MTHFD2",1.91580188759199e-149,0.611031418634333,0.618,0.106,7.01202648877546e-145,"10","MTHFD2"
"LMNB2",1.5530864147677e-148,0.522606640350591,0.533,0.08,5.68445158669125e-144,"10","LMNB2"
"CDK4",1.31227979918976e-147,0.800247261080309,0.745,0.155,4.80307529301442e-143,"10","CDK4"
"NCAPD3",3.26870188496662e-147,0.595896127423346,0.523,0.079,1.19637757691663e-142,"10","NCAPD3"
"TXNDC17.1",7.59861912799229e-147,0.911542350243448,0.81,0.191,2.78117058703646e-142,"10","TXNDC17"
"ACAT2",5.70988226249476e-146,0.612958914451263,0.673,0.124,2.08987400689571e-141,"10","ACAT2"
"SUV39H1",4.77926310581348e-144,0.270536703274417,0.356,0.039,1.74925808935879e-139,"10","SUV39H1"
"YWHAE.1",2.02867670020428e-143,1.16681189266369,0.873,0.267,7.42515959041768e-139,"10","YWHAE"
"WEE1",6.23723967948017e-143,0.311154134883754,0.346,0.037,2.28289209508654e-138,"10","WEE1"
"MALAT1.3",2.10957363314557e-142,-1.91636734179,1,1,7.72125045467609e-138,"10","MALAT1"
"DDX11",7.5950339592189e-142,0.43359511635425,0.418,0.054,2.77985837941371e-137,"10","DDX11"
"HMGA1.2",1.37014961166342e-141,1.32127044425027,0.886,0.278,5.01488459364928e-137,"10","HMGA1"
"HLA-DRB5.4",1.19270145508777e-137,1.13294235474661,0.83,0.213,4.36540659576675e-133,"10","HLA-DRB5"
"HAUS4",1.62061655710901e-137,0.534961392318654,0.578,0.099,5.9316186606747e-133,"10","HAUS4"
"TMEM97",1.78361058840175e-137,0.25691151171317,0.314,0.032,6.52819311460924e-133,"10","TMEM97"
"SMC1A",2.88570468049434e-137,0.929094703536448,0.804,0.197,1.05619677010773e-132,"10","SMC1A"
"SNX10",8.75129968279771e-137,0.573286659145715,0.654,0.12,3.20306319690079e-132,"10","SNX10"
"PDLIM1",3.650800728928e-135,0.315621902002406,0.291,0.029,1.33622957479494e-130,"10","PDLIM1"
"RPL10.5",3.64977720030622e-134,-0.935488818407383,1,0.998,1.33585495308408e-129,"10","RPL10"
"SAE1",4.49048100880429e-134,0.84867049596935,0.804,0.192,1.64356095403246e-129,"10","SAE1"
"TMPO",6.04575077780871e-134,1.48924317102008,0.912,0.342,2.21280524218577e-129,"10","TMPO"
"YEATS4",1.25542702772238e-133,0.653372180062046,0.627,0.12,4.59498846416668e-129,"10","YEATS4"
"JUNB.7",1.95406383228044e-133,-2.74232401954836,0.84,0.967,7.15206903252965e-129,"10","JUNB"
"BCL2L12",8.55483214035755e-133,0.399678998353986,0.454,0.065,3.13115411169227e-128,"10","BCL2L12"
"DUT.1",1.09059607473597e-132,1.76399285089048,0.905,0.407,3.99169069314113e-128,"10","DUT"
"PNRC1.4",1.223778385062e-132,-1.6421157899268,0.889,0.967,4.47915126716544e-128,"10","PNRC1"
"HNRNPA2B1.3",1.37816334238648e-132,1.19257421298689,0.99,0.935,5.04421564946874e-128,"10","HNRNPA2B1"
"IDH2.6",1.64153627826708e-132,1.39929158491374,0.941,0.459,6.00818693208534e-128,"10","IDH2"
"MT1E.2",2.75548794885202e-131,1.04241580616775,0.703,0.166,1.00853614415933e-126,"10","MT1E"
"RPS27A.6",1.83710657744293e-128,-0.911669728787963,0.984,0.997,6.72399378409886e-124,"10","RPS27A"
"SLBP.1",2.13314541075175e-128,1.20178696065306,0.824,0.255,7.80752551789249e-124,"10","SLBP"
"RANBP1.1",7.29465067742722e-128,1.2953567008561,0.879,0.327,2.66991509444514e-123,"10","RANBP1"
"ANP32E",2.08127952393982e-127,1.33667117312617,0.908,0.341,7.61769118557214e-123,"10","ANP32E"
"FH",9.96242720392686e-126,0.481147587483102,0.572,0.103,3.64634798090927e-121,"10","FH"
"CDCA4",1.06388548978494e-125,0.451373087644602,0.441,0.066,3.89392728116186e-121,"10","CDCA4"
"RAN",5.19256943347485e-125,1.40071310736055,0.951,0.691,1.90053233834613e-120,"10","RAN"
"PSMG1",6.36770320260463e-125,0.424808256872589,0.52,0.087,2.33064304918532e-120,"10","PSMG1"
"CHCHD2.3",1.22728987212012e-124,1.08121846655212,0.984,0.866,4.49200366094684e-120,"10","CHCHD2"
"SLC25A5.4",1.44550137155658e-124,1.37337903179312,0.964,0.691,5.29067957003425e-120,"10","SLC25A5"
"PSAT1",2.60747001823612e-124,0.26213020870066,0.324,0.037,9.54360101374604e-120,"10","PSAT1"
"GON7",3.47711950182076e-124,0.449869898867556,0.549,0.097,1.27266050886142e-119,"10","GON7"
"CLN6",4.83216496956639e-124,0.369421022657206,0.415,0.059,1.76862070051099e-119,"10","CLN6"
"C1orf112",6.55930594229254e-124,0.286473967636689,0.268,0.026,2.40077156793849e-119,"10","C1orf112"
"HIST1H3H",1.72157076098751e-123,1.43407273171108,0.526,0.098,6.30112114229039e-119,"10","HIST1H3H"
"MRPL37.1",1.74724009448046e-123,0.763058225924067,0.758,0.182,6.39507346980794e-119,"10","MRPL37"
"HADH",1.81719987050517e-123,0.616934467435097,0.631,0.128,6.65113324603597e-119,"10","HADH"
"HNRNPAB",2.52211810363754e-123,1.11464544851133,0.83,0.27,9.23120447112377e-119,"10","HNRNPAB"
"COX8A.6",3.9645456781389e-123,1.25581642599416,0.971,0.69,1.45106336365562e-118,"10","COX8A"
"COTL1.9",1.02467577144571e-122,1.80290779669921,0.951,0.699,3.75041579106844e-118,"10","COTL1"
"TMPO-AS1",4.63423817749785e-122,0.670111126750416,0.425,0.064,1.69617751534599e-117,"10","TMPO-AS1"
"POLD1",8.24109623283181e-121,0.361482704205979,0.356,0.046,3.01632363217877e-116,"10","POLD1"
"ANP32B.6",1.05744973246448e-120,1.26271827229707,0.958,0.666,3.87037176579325e-116,"10","ANP32B"
"HLA-DMA.1",3.48808416360739e-120,0.718413067036001,0.696,0.156,1.27667368472194e-115,"10","HLA-DMA"
"RPS15A.2",5.17627577218066e-120,-0.721400197365266,1,0.998,1.89456869537584e-115,"10","RPS15A"
"RCC2",1.53360896852597e-119,0.586259243460443,0.592,0.114,5.61316218570191e-115,"10","RCC2"
"ACTG1.7",1.77901367608744e-119,1.32881334008591,0.997,0.98,6.51136795584764e-115,"10","ACTG1"
"RPS14.7",4.33539925651637e-119,-0.922583664621239,0.997,0.995,1.58679948187756e-114,"10","RPS14"
"CENPK",4.88077544134551e-119,0.609333718571185,0.68,0.146,1.78641261928687e-114,"10","CENPK"
"CALM3.3",4.28971123503781e-118,1.25125428586057,0.967,0.613,1.57007720913619e-113,"10","CALM3"
"EEF1A1.7",8.24768911203662e-118,-0.798940075269826,0.997,0.999,3.01873669189652e-113,"10","EEF1A1"
"PALM2-AKAP2",8.72641630796627e-118,0.376623046476874,0.402,0.058,3.19395563287873e-113,"10","PALM2-AKAP2"
"TIPIN",1.13263543321294e-117,0.2791167976774,0.317,0.038,4.14555894910269e-113,"10","TIPIN"
"TUBA1C",9.83305225787529e-117,0.94131849722932,0.683,0.16,3.59899545690493e-112,"10","TUBA1C"
"ALYREF.1",8.33684701248544e-116,1.23814252037876,0.905,0.392,3.0513693750398e-111,"10","ALYREF"
"KIF20B",3.12321653781544e-115,0.576936414071807,0.474,0.082,1.14312848500583e-110,"10","KIF20B"
"HIST1H2AM",1.2253571954336e-114,1.65081353241811,0.569,0.122,4.48492987100652e-110,"10","HIST1H2AM"
"FAU.2",1.7316608901955e-114,-0.785605119598141,0.99,0.995,6.33805202420456e-110,"10","FAU"
"BTG1.3",4.70938994115571e-114,-1.47907035479628,0.938,0.973,1.7236838123624e-109,"10","BTG1"
"RPL39.6",5.80359908226391e-114,-0.854693163440755,0.993,0.995,2.12417530009941e-109,"10","RPL39"
"ARHGAP11A",6.66263490795797e-113,0.269237618005138,0.275,0.03,2.4385910026617e-108,"10","ARHGAP11A"
"ACTL6A",8.74109873215539e-113,0.475276088281848,0.542,0.102,3.19932954695619e-108,"10","ACTL6A"
"PRIM2",3.51957360181449e-112,0.333856719767098,0.376,0.054,1.28819913400012e-107,"10","PRIM2"
"TEX30",3.65411008812662e-112,0.317709922577554,0.382,0.055,1.33744083335522e-107,"10","TEX30"
"APOBEC3H.1",1.92351985649138e-111,0.437788244984906,0.477,0.083,7.0402750267441e-107,"10","APOBEC3H"
"ITGB3BP",3.69070046520054e-111,0.36395907729624,0.48,0.082,1.35083327726805e-106,"10","ITGB3BP"
"JPT1.5",2.41507553649529e-110,1.14176235703698,0.905,0.349,8.83941797112641e-106,"10","JPT1"
"ANXA5.4",2.74332686112211e-110,1.23423867303142,0.954,0.473,1.0040850644393e-105,"10","ANXA5"
"HIST2H2AB",2.4782206506926e-109,0.981045858118884,0.415,0.07,9.07053540359998e-105,"10","HIST2H2AB"
"RPL11.7",4.31881772915079e-109,-0.813562575330587,0.993,0.998,1.58073047704648e-104,"10","RPL11"
"HAUS1",4.47230515040976e-109,0.472885887209086,0.621,0.13,1.63690840810148e-104,"10","HAUS1"
"MRPL51.2",6.52214285910951e-109,0.952521359875737,0.908,0.333,2.38716950786267e-104,"10","MRPL51"
"SNRPB.1",6.84571561374927e-109,1.15614059035488,0.944,0.523,2.50560037178837e-104,"10","SNRPB"
"SASS6",7.87359457759573e-109,0.330172587470308,0.324,0.042,2.88181435134581e-104,"10","SASS6"
"RFWD3",1.37782268082945e-108,0.31323570905367,0.294,0.035,5.04296879410389e-104,"10","RFWD3"
"HAT1",2.07629243914872e-108,0.773569917754562,0.719,0.186,7.59943795652822e-104,"10","HAT1"
"RPS28.6",2.9021898044059e-108,-0.824508812794694,0.997,0.996,1.0622304903106e-103,"10","RPS28"
"NME1",3.86094969590087e-108,0.790249304994254,0.703,0.181,1.41314619819668e-103,"10","NME1"
"DPP3",4.21333864863239e-108,0.400866825026679,0.51,0.093,1.54212407878594e-103,"10","DPP3"
"INCENP",9.17562995163204e-108,0.32864588181404,0.268,0.03,3.35837231859684e-103,"10","INCENP"
"AHCY",9.25717687234465e-108,0.498489392753185,0.578,0.118,3.38821930704687e-103,"10","AHCY"
"MLH1",1.01715010172104e-107,0.452247998225689,0.52,0.098,3.72287108730916e-103,"10","MLH1"
"SPATS2L",5.2800124855988e-107,0.314876394707835,0.317,0.041,1.93253736985402e-102,"10","SPATS2L"
"RPL41.4",6.36019652963675e-107,-0.669808440924191,0.993,0.999,2.32789553181235e-102,"10","RPL41"
"CORO1A.6",1.18398917148371e-106,0.951695757155792,0.987,0.957,4.33351876654753e-102,"10","CORO1A"
"RPL32.7",1.80619310687839e-106,-0.888132866654099,0.997,0.997,6.61084739048561e-102,"10","RPL32"
"TXNIP.4",2.52136156132763e-106,-1.79854710154373,0.709,0.916,9.22843545061527e-102,"10","TXNIP"
"ZFP36L2.6",4.73528790004465e-106,-1.71268948122738,0.899,0.96,1.73316272429534e-101,"10","ZFP36L2"
"MRPL27",4.89122286832707e-106,0.448202702559612,0.556,0.11,1.79023648203639e-101,"10","MRPL27"
"RAD51C",5.27811003377726e-106,0.498795216441393,0.588,0.12,1.93184105346282e-101,"10","RAD51C"
"HLA-DQB1.3",5.67229728771317e-106,0.633682394109085,0.67,0.156,2.0761175302759e-101,"10","HLA-DQB1"
"LRRC42",8.00490326724337e-106,0.303613252300284,0.346,0.048,2.92987464484375e-101,"10","LRRC42"
"KPNA2",2.34197321374456e-105,0.7205571975349,0.621,0.138,8.57185615962645e-101,"10","KPNA2"
"SEPHS1",2.34700357933576e-105,0.323798872969597,0.441,0.074,8.59026780072683e-101,"10","SEPHS1"
"VRK1",2.45562773269591e-105,0.565713167798687,0.595,0.128,8.98784306444029e-101,"10","VRK1"
"NUP37",5.43647193783848e-105,0.361102289055812,0.471,0.083,1.98980309396826e-100,"10","NUP37"
"MRPL12",1.29850533001564e-104,0.495659475182182,0.634,0.138,4.75265935839023e-100,"10","MRPL12"
"H2AFY.1",8.18641195819387e-104,1.08442257854987,0.886,0.372,2.99630864081854e-99,"10","H2AFY"
"DNMT1.2",8.72672628987988e-104,1.03209723194493,0.824,0.296,3.19406908935893e-99,"10","DNMT1"
"SNRPG.1",9.48545495100551e-104,1.10368205035105,0.941,0.509,3.47177136661753e-99,"10","SNRPG"
"YBX1.1",9.81580549322012e-104,0.948867422149745,0.984,0.913,3.5926829685735e-99,"10","YBX1"
"LSM4",1.21662359922557e-103,1.00868189015964,0.866,0.34,4.45296403552549e-99,"10","LSM4"
"HLA-DQA1.2",1.43206673343202e-102,0.615405019549342,0.464,0.087,5.24150745103455e-98,"10","HLA-DQA1"
"HDGF",2.65805202578402e-102,0.788788311742641,0.84,0.254,9.72873621957208e-98,"10","HDGF"
"RPL35A.6",2.6702704450163e-102,-0.775842547686564,0.99,0.993,9.77345685580415e-98,"10","RPL35A"
"POLR3K",2.85552350100572e-102,0.464990598862695,0.516,0.1,1.0451501566031e-97,"10","POLR3K"
"PSMA4.5",3.85548712998561e-102,0.99090803249707,0.866,0.322,1.41114684444603e-97,"10","PSMA4"
"RPS25.6",4.0856559038702e-102,-0.857984110130193,0.987,0.994,1.49539091737553e-97,"10","RPS25"
"NUCKS1.1",6.59107266428008e-102,1.18280425552656,0.958,0.485,2.41239850585315e-97,"10","NUCKS1"
"CCDC167.3",7.25886836723672e-102,0.82983439936894,0.824,0.259,2.65681841109231e-97,"10","CCDC167"
"LRRC59",7.48709673560388e-102,0.504446277928297,0.621,0.136,2.74035227619838e-97,"10","LRRC59"
"PRPS2",1.83525728008238e-101,0.38437052475254,0.516,0.1,6.71722517082953e-97,"10","PRPS2"
"RPL26.2",2.89660907550023e-101,-0.660172472538537,0.997,0.996,1.06018788772384e-96,"10","RPL26"
"SMS.1",3.0402751695371e-101,0.793175231496448,0.771,0.224,1.11277111480228e-96,"10","SMS"
"PRIM1",4.74574954777349e-100,0.351131930511159,0.458,0.082,1.73699179198058e-95,"10","PRIM1"
"SMC3",4.74891675059641e-100,0.964207532920687,0.81,0.269,1.73815101988579e-95,"10","SMC3"
"UBR7",6.99025395478521e-100,0.456249330756551,0.48,0.09,2.55850284999094e-95,"10","UBR7"
"TPM4.4",7.19686124987595e-100,1.09697674007779,0.853,0.303,2.6341231860671e-95,"10","TPM4"
"YWHAH.2",1.55224551429678e-99,0.798211554623706,0.817,0.247,5.68137380687763e-95,"10","YWHAH"
"DCTPP1",2.60951880847854e-99,0.579267753052936,0.578,0.13,9.55109979091231e-95,"10","DCTPP1"
"PMVK",4.84891792815115e-99,0.496968434156631,0.634,0.142,1.7747524508826e-94,"10","PMVK"
"RPL13.7",5.81511438650422e-99,-0.835908046497721,0.993,0.998,2.12839001660441e-94,"10","RPL13"
"HSPB11.3",1.05666903937289e-98,0.874978255687965,0.863,0.303,3.86751435100872e-94,"10","HSPB11"
"NABP2",1.13267001722329e-98,0.473099267881312,0.641,0.145,4.14568553003895e-94,"10","NABP2"
"HSPA14.1",1.48000272889493e-98,0.272246329797032,0.386,0.062,5.41695798802834e-94,"10","HSPA14.1"
"TEDC1",2.5887859070451e-98,0.324385699146632,0.386,0.062,9.47521529837578e-94,"10","TEDC1"
"HLA-E.2",3.11075831855238e-98,-0.968508961453519,0.98,0.99,1.13856865217336e-93,"10","HLA-E"
"ACAT1",4.03163734446484e-98,0.454371289907448,0.559,0.116,1.47561958444758e-93,"10","ACAT1"
"NIPSNAP3A",4.70481793218211e-98,0.262448898033424,0.373,0.058,1.72201041135797e-93,"10","NIPSNAP3A"
"MYCBP",6.48687954153669e-98,0.480555413609615,0.676,0.158,2.37426278099785e-93,"10","MYCBP"
"MRPL13",7.30955484396505e-98,0.577397799139588,0.676,0.165,2.67537016843965e-93,"10","MRPL13"
"SSRP1",7.31173291301621e-98,0.785463034183017,0.768,0.225,2.67616736349306e-93,"10","SSRP1"
"ANXA2.5",7.6509430718425e-98,1.2952668146813,0.948,0.486,2.80032167372507e-93,"10","ANXA2"
"RPS3.4",8.00267384827456e-98,-0.644646060820621,0.997,0.997,2.92905865520697e-93,"10","RPS3"
"ARHGDIB.2",2.20608296286144e-97,0.772058056441657,0.993,0.976,8.07448425236916e-93,"10","ARHGDIB"
"HIST1H1D.4",3.4058763868818e-97,1.81136006429856,0.922,0.408,1.24658481636261e-92,"10","HIST1H1D"
"PSMB2.4",3.64498576297084e-97,0.964659310033576,0.895,0.365,1.33410123910496e-92,"10","PSMB2"
"HINT2",6.60406547621783e-97,0.692441469963384,0.765,0.209,2.41715400495049e-92,"10","HINT2"
"MRPL23.1",8.04366885959646e-97,0.486698469525482,0.565,0.123,2.9440632393009e-92,"10","MRPL23"
"HPRT1",8.65919968130761e-97,0.751968034811924,0.791,0.231,3.1693536753554e-92,"10","HPRT1"
"CENPX",1.48825390734119e-96,0.826598502027794,0.791,0.237,5.44715812625949e-92,"10","CENPX"
"MT2A.7",1.86883422345832e-96,1.33879549355579,0.967,0.625,6.84012014127978e-92,"10","MT2A"
"CBX3",4.63976934816153e-96,1.02276737276703,0.928,0.484,1.6982019791206e-91,"10","CBX3"
"MAGOHB",5.30043187606652e-96,0.392659459674469,0.556,0.116,1.94001107095911e-91,"10","MAGOHB"
"SHMT2.1",6.48106730450439e-96,0.616156100403065,0.752,0.2,2.37213544412165e-91,"10","SHMT2"
"ARPC2.6",8.50031071143265e-96,0.934094803779502,0.993,0.911,3.11119872349147e-91,"10","ARPC2"
"MSH2",1.21311768927297e-95,0.385467767945973,0.441,0.08,4.44013205450802e-91,"10","MSH2"
"ATP5MC3.2",3.30044396322765e-95,1.02682745105222,0.958,0.691,1.20799549498095e-90,"10","ATP5MC3"
"COX5A.3",6.21268665937206e-95,1.04449392448499,0.938,0.596,2.27390544419677e-90,"10","COX5A"
"ICMT",6.67212487594448e-95,0.258591819155022,0.402,0.067,2.44206442584444e-90,"10","ICMT"
"RBL1",9.39962037802125e-95,0.482728623606093,0.546,0.116,3.44035505455956e-90,"10","RBL1"
"HIST1H2AG",1.63011952967745e-94,1.06872799942729,0.601,0.151,5.96640049057243e-90,"10","HIST1H2AG"
"DDX39A.1",3.09537992580455e-94,1.01957954566761,0.908,0.401,1.13294000664372e-89,"10","DDX39A"
"MRPL39",4.79875225916235e-94,0.311887267400534,0.52,0.104,1.75639131437601e-89,"10","MRPL39"
"SNRPE",1.55931766840267e-93,0.882439385743728,0.889,0.333,5.7072585981206e-89,"10","SNRPE"
"TPGS2",1.67702398003696e-93,0.577571964557886,0.709,0.185,6.13807546933329e-89,"10","TPGS2"
"PI4K2B",1.94423491138056e-93,0.28539581640058,0.395,0.067,7.11609419914399e-89,"10","PI4K2B"
"HIST1H2BF",1.41344412067537e-92,0.961143108559846,0.379,0.067,5.17334682608392e-88,"10","HIST1H2BF"
"HIST1H1C.4",2.00859548967567e-92,1.89029580379638,0.876,0.347,7.35166035176192e-88,"10","HIST1H1C"
"RPS19.2",2.09847788232736e-92,-0.645958813921417,1,0.998,7.68063889710638e-88,"10","RPS19"
"TXN.2",2.74967167060683e-92,1.09203261805077,0.935,0.478,1.00640732815881e-87,"10","TXN"
"PGAM1.5",3.31940446326587e-92,1.04054393038167,0.951,0.619,1.21493522759994e-87,"10","PGAM1"
"HLA-DRB1.7",4.86954635226315e-92,1.40103944167565,0.912,0.486,1.78230266039184e-87,"10","HLA-DRB1"
"CSE1L",7.29925676341771e-92,0.334312197907808,0.412,0.073,2.67160096797852e-87,"10","CSE1L"
"PSMA2.1",2.89333225500178e-91,0.969873319731648,0.925,0.473,1.0589885386532e-86,"10","PSMA2"
"RPS12.7",3.52309405731116e-91,-0.858835221054573,1,0.998,1.28948765591646e-86,"10","RPS12"
"TCTEX1D2",1.37155295146981e-90,0.387630366526122,0.562,0.122,5.02002095767466e-86,"10","TCTEX1D2"
"SNRPD1",1.47956882778227e-90,0.950142474343741,0.879,0.383,5.41536986656587e-86,"10","SNRPD1"
"COPS3",1.90767333175448e-90,0.612567594340416,0.732,0.205,6.98227516155457e-86,"10","COPS3"
"RPL19.5",3.10979725155129e-90,-0.693095840305119,1,0.997,1.13821689204029e-85,"10","RPL19"
"DDX5.1",4.56355756213051e-90,-1.00990688193576,0.971,0.979,1.67030770331539e-85,"10","DDX5"
"PDXP",7.6594913034623e-90,0.306443028175486,0.435,0.08,2.80345041198024e-85,"10","PDXP"
"NUDT21.1",2.65815546398458e-89,0.836062216676504,0.837,0.289,9.72911481372997e-85,"10","NUDT21"
"OXCT1",3.33624140140791e-89,0.533657729622333,0.621,0.149,1.22109771532931e-84,"10","OXCT1"
"MCMBP",3.74114669823477e-89,0.445282560971996,0.618,0.146,1.36929710302091e-84,"10","MCMBP"
"ENO1.2",4.15119605833452e-89,1.0715688439963,0.948,0.724,1.51937926931102e-84,"10","ENO1"
"AC006064.4",4.17956193500895e-89,0.2631567931007,0.301,0.044,1.52976146383263e-84,"10","AC006064.4"
"TTF2",4.47403396997514e-89,0.308839523505121,0.346,0.056,1.6375411733506e-84,"10","TTF2"
"H3F3A.5",4.81129664343425e-89,0.799786539344883,0.984,0.943,1.76098268446337e-84,"10","H3F3A"
"RPL26L1",1.04755739067843e-88,0.421940263707194,0.546,0.121,3.83416480562212e-84,"10","RPL26L1"
"TALDO1.3",1.90592210589148e-88,0.927057101992791,0.922,0.431,6.9758654997734e-84,"10","TALDO1"
"CLTA.2",3.83330548318707e-88,0.856119946440065,0.876,0.337,1.4030281399013e-83,"10","CLTA"
"TESC",4.40632570564763e-88,0.46996598666217,0.575,0.134,1.61275927152409e-83,"10","TESC"
"LSM5.1",7.66816100609805e-88,0.829390419514992,0.846,0.305,2.80662360984195e-83,"10","LSM5"
"UQCC2",8.21288792938357e-88,0.512428929884056,0.657,0.168,3.00599911103368e-83,"10","UQCC2"
"CACYBP.1",4.44494980711602e-87,0.9228780423671,0.895,0.409,1.62689607890254e-82,"10","CACYBP"
"LSM3",4.73462639175172e-87,0.774753011224372,0.84,0.301,1.73292060564505e-82,"10","LSM3"
"COX6A1.3",7.13640974615056e-87,0.893643972833825,0.961,0.814,2.61199733118857e-82,"10","COX6A1"
"HSBP1.1",1.88164511326424e-86,0.457582590689283,0.644,0.159,6.88700927905845e-82,"10","HSBP1"
"ANAPC15",3.68044136103044e-86,0.617757174209853,0.781,0.227,1.34707834255075e-81,"10","ANAPC15"
"EXOSC9",1.17846373790127e-85,0.375963678918392,0.611,0.143,4.31329512709242e-81,"10","EXOSC9"
"RPA1",1.81960338921836e-85,0.55670476035842,0.706,0.193,6.65993036487814e-81,"10","RPA1"
"CD74.6",2.93972602739207e-85,1.2135199631093,0.984,0.895,1.07596912328577e-80,"10","CD74"
"PSME2.4",4.00472409207217e-85,1.09189047929233,0.964,0.724,1.46576906493933e-80,"10","PSME2"
"PFDN5.3",5.58708361287354e-85,-0.919987206074793,0.961,0.963,2.04492847314784e-80,"10","PFDN5"
"MCUR1",5.89733362889426e-85,0.386734541690156,0.516,0.113,2.15848308151159e-80,"10","MCUR1"
"TRIOBP",7.79158165180789e-85,0.347469612999759,0.418,0.08,2.85179680037821e-80,"10","TRIOBP"
"HSPD1.1",1.30327156833801e-84,1.0488545636296,0.863,0.365,4.77010426727394e-80,"10","HSPD1"
"HNRNPF.4",1.42120558228709e-84,0.971374939911422,0.951,0.645,5.20175455172897e-80,"10","HNRNPF"
"PARVB",1.76737498562333e-84,0.250153798475323,0.356,0.06,6.46876918487996e-80,"10","PARVB"
"DCPS",2.7943074942056e-84,0.470336963280275,0.611,0.15,1.02274448595419e-79,"10","DCPS"
"KIF22",2.90528078177421e-84,0.848479863633257,0.725,0.221,1.06336181893718e-79,"10","KIF22"
"PGRMC1",5.89315959595286e-84,0.30133640159802,0.461,0.093,2.15695534371471e-79,"10","PGRMC1"
"RUVBL2",1.08828055412889e-83,0.461037359522874,0.598,0.144,3.98321565616713e-79,"10","RUVBL2"
"ERH.1",1.12682498429804e-83,0.920537958855143,0.925,0.496,4.12429212502925e-79,"10","ERH"
"HACD3",1.14419231183097e-83,0.413986232683924,0.608,0.147,4.18785828053252e-79,"10","HACD3"
"AL441992.1",1.19001608112692e-83,0.289093132079257,0.337,0.056,4.35557785853265e-79,"10","AL441992.1"
"POP7",1.94873513534851e-83,0.325759445992014,0.559,0.126,7.13256546888907e-79,"10","POP7"
"DDB2",2.82565533546339e-83,0.396070180802397,0.529,0.118,1.03421810933295e-78,"10","DDB2"
