"","x"
"472","IGHV1OR16-3"
"473","IGHV3OR16-9"
"474","IGHV2OR16-5"
"475","IGHV3OR16-15"
"476","IGHV3OR16-6"
"477","IGHV1OR16-2"
"478","IGHV3OR16-10"
"479","IGHV1OR16-4"
"480","IGHV3OR16-8"
"481","IGHV3OR16-12"
"482","IGHV3OR16-13"
"483","IGHV3OR16-11"
"484","IGHV3OR16-7"
"485","IGHV1OR21-1"
"486","IGHJ6"
"487","IGHJ3P"
"488","IGHJ5"
"489","IGHJ4"
"490","IGHJ3"
"491","IGHJ2P"
"492","IGHJ2"
"493","IGHJ1"
"494","IGHJ1P"
"495","IGHD"
"496","IGHD7-27"
"497","IGHD1-26"
"498","IGHD6-25"
"499","IGHD5-24"
"500","IGHD4-23"
"501","IGHD3-22"
"502","IGHD2-21"
"503","IGHD1-20"
"504","IGHD6-19"
"505","IGHD5-18"
"506","IGHD4-17"
"507","IGHD3-16"
"508","IGHD2-15"
"509","IGHD1-14"
"510","IGHD6-13"
"511","IGHD5-12"
"512","IGHD4-11"
"513","IGHD3-10"
"514","IGHD3-9"
"515","IGHD2-8"
"516","IGHD1-7"
"517","IGHD6-6"
"518","IGHD5-5"
"519","IGHD4-4"
"520","IGHD3-3"
"521","IGHD2-2"
"522","IGHD1-1"
"523","IGHD5OR15-5A"
"524","IGHD4OR15-4A"
"525","IGHD3OR15-3A"
"526","IGHD2OR15-2A"
"527","IGHD1OR15-1A"
"528","IGHD5OR15-5B"
"529","IGHD4OR15-4B"
"530","IGHD3OR15-3B"
"531","IGHD2OR15-2B"
"532","IGHD1OR15-1B"
"533","JCHAIN"
"534","IGLV8OR8-1"
"535","IGLVI-70"
"536","IGLV4-69"
"537","IGLVI-68"
"538","IGLV10-54"
"539","IGLV10-67"
"540","IGLVIV-66-1"
"541","IGLVV-66"
"542","IGLVIV-65"
"543","IGLVIV-64"
"544","IGLVI-63"
"545","IGLV1-62"
"546","IGLV8-61"
"547","IGLV4-60"
"548","IGLVIV-59"
"549","IGLVV-58"
"550","IGLV6-57"
"551","IGLVI-56"
"552","IGLV11-55"
"553","IGLVIV-53"
"554","IGLV5-52"
"555","IGLV1-51"
"556","IGLV1-50"
"557","IGLV9-49"
"558","IGLV5-48"
"559","IGLV1-47"
"560","IGLV7-46"
"561","IGLV5-45"
"562","IGLV1-44"
"563","IGLV7-43"
"564","IGLVI-42"
"565","IGLVVII-41-1"
"566","IGLV1-41"
"567","IGLV1-40"
"568","IGLVI-38"
"569","IGLV5-37"
"570","IGLV1-36"
"571","IGLV7-35"
"572","IGLV2-34"
"573","IGLV2-33"
"574","IGLV3-32"
"575","IGLV3-31"
"576","IGLV3-30"
"577","IGLV3-29"
"578","IGLV2-28"
"579","IGLV3-27"
"580","IGLV3-26"
"581","IGLVVI-25-1"
"582","IGLV3-25"
"583","IGLV3-24"
"584","IGLV2-23"
"585","IGLVVI-22-1"
"586","IGLV3-22"
"587","IGLV3-21"
"588","IGLVI-20"
"589","IGLV3-19"
"590","IGLV2-18"
"591","IGLV3-17"
"592","IGLV3-16"
"593","IGLV3-15"
"594","IGLV2-14"
"595","IGLV3-13"
"596","IGLV3-12"
"597","IGLV2-11"
"598","IGLV3-10"
"599","IGLV3-9"
"600","IGLV2-8"
"601","IGLV3-7"
"602","IGLV3-6"
"603","IGLV2-5"
"604","IGLV3-4"
"605","IGLV4-3"
"606","IGLV3-2"
"607","IGLV3-1"
"608","IGLVIVOR22-1"
"609","IGLVIVOR22-2"
